,name,adress,rooms,size,level,repair,wall,price
90,4-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Караташ",4,100 м²,6/9,Черновая отделка,Панельный,100 000 у.е.
91,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Алмазар",3,72 м²,7/9,Средний,Панельный,78 500 у.е.
92,6+ комнатный частный дом на продажу,"город Ташкент, Мирзо-Улугбекский район",6+,4 сот.,250 м²,Черновая отделка,Другое,99 000 у.е.
93,2-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Караташ",2,72 м²,2/12,Черновая отделка,Панельный,67 000 у.е.
94,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Мукими",3,95 м²,6/8,Евроремонт,Кирпичный,1 700 у.е./мес.
95,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Минор",3,110 м²,2/8,Евроремонт,Кирпичный,2 200 у.е./мес.
96,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Сандикли",2,72 м²,2/5,Евроремонт,Панельный,500 у.е./мес.
97,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",2,68 м²,9/9,Евроремонт,Панельный,650 у.е./мес.
98,3-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Ислама Каримова",3,82 м²,6/9,Евроремонт,Кирпичный,129 000 у.е.
99,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",3,92 м²,1/9,Евроремонт,Панельный,1 000 у.е./мес.
100,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,28 м²,3/4,Евроремонт,Кирпичный,42 000 у.е.
101,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",2,60 м²,4/9,Евроремонт,Панельный,600 у.е./мес.
102,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район",3,114 м²,2/8,Евроремонт,Кирпичный,2 200 у.е./мес.
103,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район",3,105 м²,4/9,Евроремонт,Кирпичный,2 000 у.е./мес.
104,1-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Джарарык",1,40 м²,2/9,Средний,Монолитный,39 000 у.е.
105,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Туркистон",2,77 м²,3/7,Евроремонт,Кирпичный,700 у.е./мес.
106,2-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Нукус",2,65 м²,3/6,Евроремонт,Кирпичный,110 000 у.е.
107,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,178 м²,6/8,Евроремонт,Кирпичный,2 000 у.е./мес.
108,2-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Шарафа Рашидова",2,74 м²,4/12,Черновая отделка,Кирпичный,900 у.е./мес.
109,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район",3,106 м²,1/6,Евроремонт,Кирпичный,1 200 у.е./мес.
110,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, махалля Юнус Ражабий, улица Юсуфа Хос Ходжиба",3,110 м²,4/8,Евроремонт,Кирпичный,1 000 у.е./мес.
111,1-комнатная квартира в аренду,"город Ташкент, Мирабадский район",1,30 м²,4/12,Евроремонт,,1 000 у.е./мес.
112,4-комнатный частный дом в аренду,"город Ташкент, Мирзо-Улугбекский район, Магрур",4,3 сот.,150 м²,Евроремонт,Кирпичный,2 000 у.е./мес.
113,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Афросиаб",3,101 м²,4/4,Евроремонт,Кирпичный,950 у.е./мес.
114,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Мирабад",2,80 м²,5/6,Евроремонт,,2 000 у.е./мес.
115,4-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",4,85 м²,4/5,Евроремонт,Панельный,79 000 у.е.
116,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район",3,70 м²,4/9,Евроремонт,Кирпичный,800 у.е./мес.
117,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Киёт",4,100 м²,8/9,Евроремонт,Панельный,1 300 у.е./мес.
118,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Кашкар",2,56 м²,2/4,Евроремонт,Кирпичный,100 000 у.е.
119,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",4,70 м²,4/4,Евроремонт,Монолитный,750 у.е./мес.
120,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Жангох",3,64 м²,3/5,Евроремонт,Панельный,90 000 у.е.
121,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",1,20 м²,3/4,Средний,Панельный,20 500 у.е.
122,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",2,70 м²,3/4,Евроремонт,Кирпичный,1 100 у.е./мес.
123,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район",2,47 м²,4/4,Требует ремонта,Панельный,41 300 у.е.
124,4-комнатная квартира в аренду,"город Ташкент, Олмазорский район, 10-й проезд Сагбан",4,140 м²,6/8,Евроремонт,Кирпичный,1 100 у.е./мес.
125,3-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",3,70 м²,2/4,Евроремонт,Кирпичный,80 000 у.е.
126,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",1,18 м²,2/4,Черновая отделка,Панельный,20 500 у.е.
127,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Минор",4,120 м²,4/8,Евроремонт,Кирпичный,1 300 у.е./мес.
128,6+ комнатный частный дом на продажу,"Ташкентская область, Кибрайский район",6+,2.2 сот.,176 м²,2/2,Евроремонт,140 000 у.е.
129,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Сайрам",2,63 м²,3/12,Евроремонт,Кирпичный,1 200 у.е./мес.
130,3-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Афросиаб",3,80 м²,1/4,Евроремонт,Кирпичный,750 у.е./мес.
131,1-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Афросиаб",1,40 м²,2/4,Евроремонт,Кирпичный,500 у.е./мес.
132,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",3,90 м²,6/8,Евроремонт,Кирпичный,245 000 у.е.
133,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,51 м²,2/4,Средний,Панельный,50 000 у.е.
134,2-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Хадра",2,45 м²,2/4,Евроремонт,Кирпичный,58 999 у.е.
135,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Махтумкули",2,50 м²,7/9,Евроремонт,Кирпичный,800 у.е./мес.
136,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",2,51 м²,4/4,Евроремонт,Панельный,60 000 у.е.
137,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Махтумкули",3,80 м²,6/9,Евроремонт,Кирпичный,850 у.е./мес.
138,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Тараса Шевченко",3,60 м²,4/4,Евроремонт,Панельный,800 у.е./мес.
139,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Хадра",2,60 м²,6/9,Евроремонт,Панельный,700 у.е./мес.
140,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Сайрам",1,40 м²,8/12,Евроремонт,Кирпичный,800 у.е./мес.
141,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район",3,72 м²,2/9,Евроремонт,Кирпичный,800 у.е./мес.
142,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,85 м²,3/8,Евроремонт,Кирпичный,88 000 у.е.
143,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Ислама Каримова",4,100 м²,3/4,Евроремонт,Кирпичный,1 500 у.е./мес.
144,6+ комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",6+,400 м²,5/7,Евроремонт,Кирпичный,3 000 у.е./мес.
145,6+ комнатный частный дом на продажу,"город Ташкент, Мирзо-Улугбекский район",6+,2 сот.,200 м²,Евроремонт,Кирпичный,400 000 у.е.
146,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад-8",2,51 м²,3/4,Евроремонт,Панельный,3 060 000 у.е.
147,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Паркент",3,72 м²,2/9,Евроремонт,Кирпичный,850 у.е./мес.
148,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Фидокор",2,65 м²,3/9,Евроремонт,Монолитный,700 у.е./мес.
149,2-комнатная квартира на продажу,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",2,54 м²,1/4,Средний,Кирпичный,56 000 у.е.
150,Бизнес на продажу,"город Ташкент, Чиланзарский район",70 м²,Черновая отделка,Панельный,,,86 000 у.е.
151,3-комнатная квартира на продажу,"Сурхандарьинская область, Термез",3,68 м²,4/4,Евроремонт,Кирпичный,36 000 у.е.
152,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,50 м²,1/4,Евроремонт,Панельный,450 у.е./мес.
153,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",3,100 м²,5/5,Евроремонт,Кирпичный,1 600 у.е./мес.
154,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",1,30 м²,4/4,Черновая отделка,Панельный,350 у.е./мес.
155,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Жангох",3,82 м²,6/8,Евроремонт,Кирпичный,190 000 у.е.
156,3-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Афросиаб",3,80 м²,6/9,Евроремонт,Парковочное место,128 900 у.е.
