adress,rooms,size,measure,level,repair,wall,price,status
 Шайхантахурский район,3,94,,4/9,Евроремонт,Кирпичный,2 400,аренду
 Шайхантахурский район,6+,140,,6/7,Евроремонт,Кирпичный,1 300,аренду
 Юнусабадский район,2,48,,8/9,Евроремонт,Кирпичный,600,аренду
 Шайхантахурский район,4,125,,1/9,Евроремонт,Кирпичный,3 500,аренду
 Шайхантахурский район,3,115,,7/8,Евроремонт,Кирпичный,2 400,аренду
 Чиланзарский район,3,70,,1/5,Евроремонт,Другое,500,аренду
 Шайхантахурский район,2,72,,3/6,Евроремонт,Кирпичный,1 500,аренду
 Юнусабадский район,6+,335,,7/8,Евроремонт,Кирпичный,2 000,аренду
 Шайхантахурский район,2,57,,7/7,Евроремонт,Кирпичный,1 600,аренду
 Шайхантахурский район,2,65,,5/7,Евроремонт,Кирпичный,1 700,аренду
 Шайхантахурский район,2,65,,6/7,Евроремонт,Кирпичный,1 500,аренду
 Яшнободский район,3,195,,2/7,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,3,100,,7/7,Евроремонт,Кирпичный,1 600,аренду
 Юнусабадский район,3,105,,7/9,Евроремонт,Кирпичный,1 400,аренду
 Шайхантахурский район,3,110,,2/8,Евроремонт,Кирпичный,3 000,аренду
 Шайхантахурский район,1,50,,2/5,Черновая отделка,Кирпичный,500,аренду
 Мирзо-Улугбекский район,2,30,,2/4,Евроремонт,Кирпичный,500,аренду
 Яккасарайский район,1,44,,1/10,Евроремонт,Кирпичный,800,аренду
 Мирабадский район,3,75,,2/9,Черновая отделка,Панельный,1 100,аренду
 Мирабадский район,2,59,,9/9,Евроремонт,Панельный,800,аренду
 Мирзо-Улугбекский район,2,70,,7/9,Евроремонт,Панельный,400,аренду
 Мирзо-Улугбекский район,2,60,,1/9,Евроремонт,Кирпичный,800,аренду
 Янгихаётский район,3,6 сот.,,80 м²,Средний,Кирпичный,400,аренду
 Мирзо-Улугбекский район,3,79,,9/9,Евроремонт,Панельный,900,аренду
 Яшнободский район,4,106,,2/8,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,3,72,,5/8,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,2,38,,1/5,Средний,Монолитный,450,аренду
 Мирзо-Улугбекский район,3,73,,8/9,Средний,Холодильник,600,аренду
 Мирабадский район,3,78,,3/5,Евроремонт,Панельный,700,аренду
 Юнусабадский район,1,33,,2/5,Черновая отделка,Холодильник,400,аренду
 Мирабадский район,2,62,,4/8,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,58,,1/4,Черновая отделка,Панельный,600,аренду
 Яккасарайский район,3,110,,7/7,Евроремонт,Кирпичный,1 800,аренду
 Мирабадский район,3,75,,9/9,Евроремонт,Панельный,850,аренду
 Чиланзарский район,3,60,,4/4,Средний,Кирпичный,600,аренду
 Яккасарайский район,3,65,,5/5,Черновая отделка,Кирпичный,500,аренду
 Шайхантахурский район,3,110,,2/8,Евроремонт,Кирпичный,3 000,аренду
 Юнусабадский район,3,100,,7/9,Евроремонт,Кирпичный,1 300,аренду
 Юнусабадский район,6+,100,,2/4,Черновая отделка,Кирпичный,900,аренду
 Мирабадский район,3,100,,7/7,Евроремонт,Кирпичный,1 600,аренду
 Мирабадский район,4,100,,2/9,Панельный,Холодильник,1 000,аренду
 Яшнободский район,3,200,,2/7,Евроремонт,Кирпичный,1 500,аренду
 Юнусабадский район,1,26,,2/4,Евроремонт,Кирпичный,400,аренду
 Юнусабадский район,6+,340,,7/8,Евроремонт,Кирпичный,2 000,аренду
 Шайхантахурский район,2,57,,7/7,Евроремонт,Кирпичный,1 600,аренду
 Шайхантахурский район,2,65,,5/7,Евроремонт,Кирпичный,1 700,аренду
 Шайхантахурский район,2,65,,6/7,Евроремонт,Кирпичный,1 500,аренду
 Яшнободский район,4,106,,2/8,Евроремонт,Кирпичный,1 200,аренду
 Яккасарайский район,2,58,,2/4,Черновая отделка,Кирпичный,600,аренду
 Мирзо-Улугбекский район,2,62,,2/9,Евроремонт,Монолитный,550,аренду
 Мирабадский район,2,42,,1/4,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,3,55,,2/5,Евроремонт,Другое,700,аренду
 Мирабадский район,2,60,,3/4,Черновая отделка,Кирпичный,730,аренду
 Яккасарайский район,2,58,,5/5,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,2,55,,5/12,Черновая отделка,Кирпичный,700,аренду
 Мирзо-Улугбекский район,4,2 сот.,,190 м²,Евроремонт,Кирпичный,2 000,аренду
 Яккасарайский район,2,60,,8/9,Средний,Панельный,600,аренду
 Мирабадский район,2,50,,2/9,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,2,60,,7/9,Евроремонт,Панельный,600,аренду
 Юнусабадский район,2,55,,4/9,Евроремонт,Панельный,600,аренду
 Юнусабадский район,2,45,,5/16,Средний,Панельный,600,аренду
 Яккасарайский район,3,75,,3/4,Евроремонт,Кирпичный,650,аренду
 Мирзо-Улугбекский район,1,39.51,,4/6,Черновая отделка,Кирпичный,400,аренду
 Сергелийский район,1,30,,6/6,Черновая отделка,Панельный,320,аренду
 Чиланзарский район,4,75,,1/5,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,3,60,,9/9,Евроремонт,Холодильник,800,аренду
 Юнусабадский район,4,85,,3/4,Черновая отделка,Кирпичный,900,аренду
 Мирзо-Улугбекский район,2,60,,2/4,Евроремонт,Кирпичный,750,аренду
 Яккасарайский район,1,40,,1/5,Евроремонт,Кирпичный,430,аренду
 Яшнободский район,4,4.5 сот.,,300 м²,Евроремонт,Кирпичный,2 500,аренду
 Мирабадский район,6+,130,,2/9,Евроремонт,Панельный,1 400,аренду
 Мирзо-Улугбекский район,2,3 сот.,,80 м²,Евроремонт,Кирпичный,1 700,аренду
 Яккасарайский район,3,110,,5/7,Евроремонт,Кирпичный,2 500,аренду
 Мирабадский район,4,185,,2/8,Евроремонт,Кирпичный,2 200,аренду
 Яккасарайский район,2,68,,8/10,Евроремонт,Кирпичный,1 400,аренду
 Мирзо-Улугбекский район,3,70,,1/4,Евроремонт,Кирпичный,650,аренду
 Мирабадский район,3,120,,5/9,Евроремонт,Кирпичный,1 600,аренду
 Яккасарайский район,3,110,,5/7,Евроремонт,Кирпичный,2 500,аренду
 Шайхантахурский район,3,90,,7/8,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,2,60,,4/9,Евроремонт,Панельный,750,аренду
 Яккасарайский район,3,95,,5/14,Евроремонт,Панельный,2 000,аренду
 Мирабадский район,2,65,,2/9,Евроремонт,Панельный,900,аренду
 Мирзо-Улугбекский район,2,55,,6/25,Евроремонт,Монолитный,1 100,аренду
 Яккасарайский район,3,80,,3/4,Средний,Кирпичный,700,аренду
 Юнусабадский район,3,88,,7/8,Евроремонт,Кирпичный,2 000,аренду
 Шайхантахурский район,4,114,,7/8,Евроремонт,Кирпичный,2 200,аренду
 Мирзо-Улугбекский район,2,62,,4/9,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,2,80,,2/9,Евроремонт,Кирпичный,850,аренду
 Мирабадский район,2,65,,3/4,Евроремонт,Кирпичный,900,аренду
 Мирабадский район,3,80,,8/9,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,1,30,,4/4,Евроремонт,Кирпичный,700,аренду
 Мирзо-Улугбекский район,12 м²,3/5,,Евроремонт,Кондиционер,Санузел раздельный,49.5,аренду
 Юнусабадский район,1,26,,2/4,Евроремонт,Кирпичный,400,аренду
 Шайхантахурский район,3,114,,7/8,Евроремонт,Кирпичный,2 400,аренду
 Шайхантахурский район,4,125,,1/9,Евроремонт,Кирпичный,3 500,аренду
 Шайхантахурский район,3,140,,6/7,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,4,123,,5/9,Евроремонт,Кирпичный,2 500,аренду
 Шайхантахурский район,3,95,,4/9,Евроремонт,Кирпичный,2 400,аренду
 Шайхантахурский район,3,102,,6/8,Парковочное место,Холодильник,2 200,аренду
 Мирзо-Улугбекский район,6+,3 сот.,,200 м²,Евроремонт,Телефонная линия,2 500,аренду
 Юнусабадский район,6+,200,,5/9,Евроремонт,Монолитный,1 000,аренду
 Мирабадский район,3,115,,2/10,Евроремонт,Кирпичный,1 800,аренду
 Шайхантахурский район,3,92,,6/7,Евроремонт,Кирпичный,2 000,аренду
 Шайхантахурский район,3,114,,4/9,Парковочное место,Лифт,3 300,аренду
 Мирзо-Улугбекский район,2,55,,5/24,Евроремонт,Монолитный,1 200,аренду
 Мирабадский район,2,85,,2/6,Евроремонт,Кирпичный,1 300,аренду
 Юнусабадский район,3,5,,2/4,Евроремонт,Панельный,500,аренду
 Юнусабадский район,2,58,,5/9,Евроремонт,Панельный,400,аренду
 Мирабадский район,4,174,,6/8,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,3,100,,1/6,Евроремонт,Кирпичный,1 200,аренду
 Яккасарайский район,3,108,,4/8,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,1,37.75,,5/9,Евроремонт,Монолитный,500,аренду
 Яккасарайский район,3,70,,5/8,Евроремонт,Кирпичный,1 100,аренду
 Яккасарайский район,2,75,,1/4,Евроремонт,Телефонная линия,700,аренду
 Шайхантахурский район,2,70,,3/4,Кирпичный,Мебель,450,аренду
 Мирзо-Улугбекский район,2,50,,21/26,Евроремонт,Лифт,1 200,аренду
 Мирабадский район,2,50,,9/9,Евроремонт,Панельный,850,аренду
 Юнусабадский район,4,95,,3/4,Евроремонт,Кирпичный,850,аренду
 Мирзо-Улугбекский район,2,45,,1/5,Евроремонт,Телефонная линия,800,аренду
 Юнусабадский район,3,140,,1/7,Евроремонт,Лифт,3 000,аренду
 Мирабадский район,2,60,,3/9,Евроремонт,Панельный,800,аренду
 Яккасарайский район,2,70,,5/8,Евроремонт,Кирпичный,1 400,аренду
 Юнусабадский район,4,145,,3/5,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,2,52,,3/12,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,3,70,,2/9,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,2,50,,4/8,Евроремонт,Кирпичный,1 400,аренду
 Юнусабадский район,3,105,,9/9,Евроремонт,Кирпичный,1 100,аренду
 Мирзо-Улугбекский район,3,100,,2/7,Евроремонт,Кирпичный,1 400,аренду
 Яккасарайский район,3,75,,3/9,Евроремонт,Кирпичный,1 300,аренду
 Яккасарайский район,2,50,,1/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,3,65,,1/4,Евроремонт,Кирпичный,1 100,аренду
 Яккасарайский район,3,86,,5/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,2,55,,5/25,Парковочное место,Холодильник,1 200,аренду
 Мирзо-Улугбекский район,3,110,,4/8,Евроремонт,Кирпичный,1 000,аренду
 Яккасарайский район,1,42,,7/9,Евроремонт,Кирпичный,600,аренду
 Яшнободский район,3,75,,3/4,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,3,130,,8/9,Евроремонт,Лифт,1 200,аренду
 Яккасарайский район,3,95.26,,5/14,Евроремонт,Кирпичный,2 000,аренду
 Яккасарайский район,2,40,,6/10,Евроремонт,Панельный,500,аренду
 Шайхантахурский район,2,62,,1/5,Черновая отделка,Кирпичный,500,аренду
 Мирабадский район,6+,110,,1/9,Евроремонт,Панельный,1 000,аренду
 Мирзо-Улугбекский район,2,111,,18/18,Черновая отделка,Кирпичный,1 400,аренду
 Яшнободский район,2,40,,3/8,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,3,75,,3/5,Евроремонт,Кирпичный,1 800,аренду
 Мирабадский район,3,100,,5/14,Евроремонт,Кирпичный,2 000,аренду
 Юнусабадский район,2,50,,3/3,Евроремонт,Кирпичный,500,аренду
 Чиланзарский район,3,76,,6/9,Евроремонт,Монолитный,900,аренду
 Яшнободский район,2,55,,5/9,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,4,100,,2/9,Евроремонт,Панельный,900,аренду
 Мирзо-Улугбекский район,2,60,,6/21,Евроремонт,Панельный,1 100,аренду
 Мирзо-Улугбекский район,2,60,,3/9,Евроремонт,Панельный,1 000,аренду
 Мирзо-Улугбекский район,2,75,,8/9,Евроремонт,Панельный,1 300,аренду
 Мирзо-Улугбекский район,4,90,,7/9,Евроремонт,Панельный,900,аренду
 Мирзо-Улугбекский район,4,140,,3/5,Евроремонт,Кирпичный,1 400,аренду
 Мирабадский район,4,3.5 сот.,,350 м²,Черновая отделка,Кирпичный,1 200,аренду
 Чиланзарский район,4,80,,1/4,Евроремонт,Панельный,900,аренду
 Чиланзарский район,2,68,,2/9,Евроремонт,Монолитный,800,аренду
 Яккасарайский район,1,47,,1/4,Черновая отделка,Панельный,300,аренду
 Чиланзарский район,3,60,,2/4,Евроремонт,Кирпичный,600,аренду
 Яшнободский район,3,55,,4/5,Черновая отделка,Кондиционер,650,аренду
 Мирзо-Улугбекский район,3,57,,9/9,Черновая отделка,Панельный,700,аренду
 Шайхантахурский район,6+,160,,3/7,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,2,60,,3/9,Евроремонт,Панельный,1 100,аренду
 Мирабадский район,2,65,,1/4,Средний,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,6+,3 сот.,,300 м²,Евроремонт,Парковочное место,3 000,аренду
 Яккасарайский район,2,55,,3/9,Евроремонт, ,1 200,аренду
 Яккасарайский район,2,52,,3/9,Евроремонт, ,1 000,аренду
 Мирабадский район,2,70,,10/16,Евроремонт,Кирпичный,2 300,аренду
 Мирзо-Улугбекский район,1,40,,3/4,Евроремонт,Кирпичный,600,аренду
 Яшнободский район,1,40,,4/9,Евроремонт,Кирпичный,600,аренду
 Яшнободский район,2,86,,6/7,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,2,70,,5/6,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,50,,4/14,Евроремонт,Панельный,600,аренду
 Яккасарайский район,2,60,,7/9,Средний,Панельный,600,аренду
 Юнусабадский район,2,60,,1/4,Евроремонт,Кирпичный,650,аренду
 Яшнободский район,2,90,,2/5,Евроремонт,Кирпичный,650,аренду
 Шайхантахурский район,2,70,,3/7,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,2,65,,6/9,Средний,Панельный,800,аренду
 Мирзо-Улугбекский район,1,45,,8/9,Евроремонт,Панельный,500,аренду
 Мирзо-Улугбекский район,3,60,,1/4,Евроремонт,Кирпичный,1 100,аренду
 Мирзо-Улугбекский район,1,40,,8/12,Евроремонт,Кирпичный,900,аренду
 Мирзо-Улугбекский район,4,120,,3/5,Евроремонт,Кирпичный,1 500,аренду
 Юнусабадский район,3,109,,2/9,Евроремонт,Кирпичный,1 300,аренду
 Юнусабадский район,3,111,,5/9,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,3,80,,2/4,Евроремонт,Кирпичный,1 240,аренду
 Яшнободский район,3,102,,2/4,Евроремонт,Кирпичный,1 400,аренду
 Юнусабадский район,3,110,,6/9,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,1,35,,1/2,Черновая отделка,Кирпичный,254.05,аренду
 Юнусабадский район,2,60,,9/11,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,2,58,,12/25,Евроремонт,Лифт,1 300,аренду
 Мирабадский район,3,110,,6/12,Евроремонт,Лифт,1 100,аренду
 Мирабадский район,2,60,,8/10,Евроремонт,Кирпичный,1 200,аренду
 Юнусабадский район,2,60,,5/9,Евроремонт,Лифт,600,аренду
 Яшнободский район,1,40,,4/9,Евроремонт,Кирпичный,600,аренду
 Яшнободский район,661 м²,1/2,,Средний,Кирпичный, ,2 181 300,аренду
 Мирзо-Улугбекский район,3,70,,1/4,Средний,Кирпичный,500,аренду
 Мирзо-Улугбекский район,1,35,,4/4,Черновая отделка,Кирпичный,300,аренду
 Шайхантахурский район,1,46,,6/8,Евроремонт,Кирпичный,1 000,аренду
 Шайхантахурский район,2,67,,7/7,Евроремонт,Кирпичный,1 300,аренду
 Яккасарайский район,3,85,,3/8,Евроремонт,Кирпичный,850,аренду
 Мирзо-Улугбекский район,1,45,,2/4,Евроремонт,Кирпичный,800,аренду
 Яшнободский район,3,75,,6/8,Черновая отделка,Кирпичный,600,аренду
 Юнусабадский район,2,70,,11/16,Черновая отделка,Лифт,800,аренду
 Яккасарайский район,3,85,,4/8,Евроремонт,Кирпичный,900,аренду
 Янгихаётский район,3,82,,2/7,Средний,Лифт,650,аренду
 Мирабадский район,3,120,,8/9,Евроремонт,Кирпичный,1 800,аренду
 Олмазорский район,6+,180,,1/8,Евроремонт,Панельный,1 500,аренду
 Шайхантахурский район,2,65,,6/7,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,3,71,,8/9,Черновая отделка,Лифт,800,аренду
 Мирабадский район,4,286,,7/8,Евроремонт,Кирпичный,2 500,аренду
 Шайхантахурский район,3,114,,7/8,Евроремонт,Кирпичный,2 200,аренду
 Чиланзарский район,2,60,,1/4,Евроремонт,Кирпичный,550,аренду
 Шайхантахурский район,2,52,,3/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,2,75,,3/9,Евроремонт,Панельный,1 000,аренду
 Мирзо-Улугбекский район,2,55,,15/21,Евроремонт,Панельный,1 200,аренду
 Яккасарайский район,3,85,,3/9,Евроремонт,Кирпичный,1 500,аренду
 Шайхантахурский район,4,111,,7/10,Евроремонт,Кирпичный,1 600,аренду
 Яккасарайский район,3,113,,4/8,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,3,104,,1/5,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,4,175,,6/8,Евроремонт,Кирпичный,2 000,аренду
 Юнусабадский район,3,183,,5/8,Евроремонт,Лифт,1 700,аренду
 Яшнободский район,3,150,,4/7,Парковочное место,Холодильник,2 500,аренду
 Мирабадский район,2,85,,2/6,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,2,55,,5/25,Евроремонт,Монолитный,1 200,аренду
 Шайхантахурский район,3,112,,4/9,Евроремонт,Кирпичный,3 300,аренду
 Шайхантахурский район,3,93,,6/7,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,3,115,,2/10,Евроремонт,Кирпичный,1 800,аренду
 Шайхантахурский район,3,101,,6/8,Евроремонт,Кирпичный,2 200,аренду
 Бектемирский район,3,65,,4/4,Средний,Кирпичный,450,аренду
 Шайхантахурский район,3,110,,5/9,Евроремонт,Кирпичный,2 200,аренду
 Шайхантахурский район,3,93,,4/9,Евроремонт,Кирпичный,2 400,аренду
 Мирзо-Улугбекский район,4,121,,5/9,Евроремонт,Кирпичный,2 500,аренду
 Шайхантахурский район,6+,140,,6/7,Евроремонт,Кирпичный,1 300,аренду
 Шайхантахурский район,4,125,,1/9,Евроремонт,Кирпичный,3 500,аренду
 Мирзо-Улугбекский район,6+,140,,1/4,Средний,Кирпичный,1 300,аренду
 Шайхантахурский район,3,91,,5/8,Евроремонт, ,2 200,аренду
 Мирзо-Улугбекский район,3,120,,12/17,Евроремонт,Монолитный,1 800,аренду
 Шайхантахурский район,3,112,,7/8,Евроремонт,Кирпичный,2 400,аренду
 Мирзо-Улугбекский район,2,85,,4/6,Евроремонт,Кирпичный,700,аренду
 Мирабадский район,3,130,,2/7,Евроремонт,Кирпичный,3 200,аренду
 Яккасарайский район,2,45,,5/10,Евроремонт,Кирпичный,650,аренду
 Чиланзарский район,2,45,,2/4,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,60,,4/4,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,3,67,,8/8,Евроремонт,Кирпичный,700,аренду
 Шайхантахурский район,3,77,,3/4,Евроремонт,Кирпичный,750,аренду
 Олмазорский район,2,76,,13/18,Евроремонт,Монолитный,800,аренду
 Мирзо-Улугбекский район,2,67,,5/7,Евроремонт,Кирпичный,900,аренду
 Яккасарайский район,3,75,,2/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,3,70,,7/10,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,2,60,,7/10,Евроремонт,Кирпичный,950,аренду
 Юнусабадский район,3,52,,2/4,Евроремонт,Панельный,500,аренду
 Мирабадский район,1 100 м²,Парковочное место,,Телефонная линия,Кондиционер,Санузел раздельный,11 000,аренду
 Яккасарайский район,6+,200,,1/2,Парковочное место,Телефонная линия,481.82,аренду
 Яккасарайский район,1,35,,2/3,Телефонная линия,Парковочное место,350.41,аренду
 Мирзо-Улугбекский район,2,47,,4/5,Евроремонт,Кирпичный,400,аренду
 Учтепинский район,2,56,,1/4,Черновая отделка, ,750,аренду
 Юнусабадский район,3,99,,7/9,Черновая отделка,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,3,75,,5/5,Черновая отделка,Холодильник,800,аренду
 Мирзо-Улугбекский район,3,70,,3/5,Черновая отделка,Кирпичный,750,аренду
 Юнусабадский район,3,75,,1/5,Черновая отделка,Панельный,900,аренду
 Яшнободский район,2,48,,3/5,Черновая отделка,Панельный,900,аренду
 Бектемирский район,2,58,,6/9,Черновая отделка,Панельный,450,аренду
 Яшнободский район,3,76,,8/9,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,2,40,,8/9,Евроремонт,Кирпичный,750,аренду
 Мирабадский район,2,50,,3/4,Евроремонт,Панельный,750,аренду
 Яшнободский район,2,60,,1/3,Кирпичный,Телефонная линия,500,аренду
 Олмазорский район,2,62,,3/7,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,175 м²,Евроремонт,,Телефонная линия,Интернет,Парковочное место,2 000,аренду
 Олмазорский район,280 м²,Черновая отделка,,Панельный, , ,3 360,аренду
 Мирзо-Улугбекский район,2,60,,8/9,Евроремонт,Панельный,850,аренду
 Яккасарайский район,3,90,,3/9,Черновая отделка,Холодильник,700,аренду
 Мирабадский район,2,65,,1/4,Евроремонт,Кирпичный,850,аренду
 Шайхантахурский район,3,62,,8/9,Черновая отделка,Панельный,500,аренду
 Мирзо-Улугбекский район,2,70,,2/8,Евроремонт,Кирпичный,1 500,аренду
 Мирзо-Улугбекский район,2,63,,3/3,Черновая отделка,Кирпичный,800,аренду
 Шайхантахурский район,3,93,,4/9,Евроремонт,Кирпичный,2 500,аренду
 Юнусабадский район,3,100,,9/9,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,2,65,,3/5,Евроремонт,Кирпичный,750,аренду
 Яшнободский район,3,57,,4/5,Евроремонт,Кирпичный,700,аренду
 Мирабадский район,3,100,,1/9,Евроремонт,Кирпичный,900,аренду
 Юнусабадский район,2,60,,5/9,Кирпичный,Кондиционер,650,аренду
 Мирабадский район,1,50,,2/9,Евроремонт,Монолитный,700,аренду
 Яккасарайский район,1,41,,7/9,Евроремонт,Кирпичный,600,аренду
 Юнусабадский район,1,40,,2/4,Евроремонт,Кирпичный,550,аренду
 Яккасарайский район,3,80,,5/8,Евроремонт,Кирпичный,1 100,аренду
 Шайхантахурский район,2,65,,6/9,Черновая отделка,Панельный,500,аренду
 Шайхантахурский район,3,120,,1/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,4,120,,3/5,Евроремонт,Кирпичный,1 500,аренду
 Юнусабадский район,3,110,,2/9,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,2,55,,4/4,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,3,110,,5/9,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,3,80,,2/4,Евроремонт,Кирпичный,1 260,аренду
 Яшнободский район,3,101,,2/4,Евроремонт,Кирпичный,1 400,аренду
 Юнусабадский район,3,110,,6/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,1,45,,3/9,Евроремонт,Панельный,550,аренду
 Яккасарайский район,3,112,,4/7,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,3,103,,1/6,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,4,176,,6/8,Евроремонт,Кирпичный,2 000,аренду
 Мирзо-Улугбекский район,3,70,,4/8,Евроремонт,Кирпичный,500,аренду
 Яшнободский район,2,50,,1/8,Евроремонт,Кирпичный,750,аренду
 Шайхантахурский район,2,50,,4/7,Евроремонт,Кирпичный,1 200,аренду
 Чиланзарский район,3,80,,1/5,Евроремонт,Кирпичный,800,аренду
 Мирабадский район,3,100,,3/7,Евроремонт,Кирпичный,1 400,аренду
 Яккасарайский район,3,68,,4/4,Евроремонт,Панельный,700,аренду
 Мирабадский район,2,85,,2/6,Евроремонт,Кирпичный,1 300,аренду
 Мирабадский район,2,55,,7/9,Евроремонт,Панельный,700,аренду
 Мирзо-Улугбекский район,2,55,,5/25,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,3,112,,4/9,Евроремонт,Кирпичный,3 500,аренду
 Шайхантахурский район,3,92,,6/7,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,3,115,,2/10,Евроремонт,Кирпичный,1 800,аренду
 Шайхантахурский район,3,100,,6/8,Евроремонт,Кирпичный,2 200,аренду
 Шайхантахурский район,3,110,,5/9,Евроремонт,Кирпичный,2 200,аренду
 Шайхантахурский район,3,93,,4/9,Евроремонт,Кирпичный,2 400,аренду
 Мирзо-Улугбекский район,4,120,,5/9,Евроремонт,Кирпичный,2 500,аренду
 Яшнободский район,3,3 сот.,,80 м²,Телефонная линия,Холодильник,1 000,аренду
 Шайхантахурский район,Свободная планировка,140,,6/7,Евроремонт,Кирпичный,1 200,аренду
 Шайхантахурский район,4,125,,1/8,Евроремонт,Кирпичный,3 500,аренду
 Чиланзарский район,2,40,,4/4,Средний,Панельный,350,аренду
 Мирзо-Улугбекский район,4,120,,5/9,Евроремонт,Кирпичный,2 500,аренду
 Яккасарайский район,3,72,,3/8,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,1,29,,4/12,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,1,36,,5/7,Евроремонт,Кирпичный,550,аренду
 Яккасарайский район,3,60,,4/9,Евроремонт,Монолитный,1 000,аренду
 Яккасарайский район,4,100,,8/8,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,2,50,,3/4,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,2,50,,9/10,Евроремонт,Кирпичный,1 100,аренду
 Шайхантахурский район,6+,270,,6/7,Евроремонт,Кирпичный,1 500,аренду
 Шайхантахурский район,3,98.15,,5/8,Евроремонт,Кирпичный,1 450,аренду
 Чиланзарский район,2,60,,4/4,Евроремонт,Телефонная линия,550,аренду
 Юнусабадский район,4,79.3,,1/4,Евроремонт,Панельный,600,аренду
 Мирзо-Улугбекский район,3,68.5,,3/4,Евроремонт,Кирпичный,1 000,аренду
 Яккасарайский район,2,58,,5/5,Кирпичный, ,550,аренду
 Мирзо-Улугбекский район,3,67,,2/4,Черновая отделка,Кирпичный,500,аренду
 Шайхантахурский район,2,65,,6/7,Евроремонт,Кирпичный,1 500,аренду
 Учтепинский район,1,43,,4/4,Средний,Панельный,400,аренду
 Чиланзарский район,2,46,,3/4,Черновая отделка,Панельный,400,аренду
 Юнусабадский район,2,60,,6/9,Черновая отделка, ,400,аренду
 Чиланзарский район,2,63,,2/9,Евроремонт,Монолитный,800,аренду
 Мирзо-Улугбекский район,1,37,,1/5,Черновая отделка,Другое,300,аренду
 Мирабадский район,3,100,,3/7,Евроремонт,Панельный,1 700,аренду
 Мирзо-Улугбекский район,2,59,,5/9,Евроремонт,Кирпичный,700,аренду
 Мирзо-Улугбекский район,1,40,,1/4,Черновая отделка,Кирпичный,500,аренду
