adress,rooms,size,floor,level,repair,wall,price
 Шайхантахурский район,2,50.0,3,4,Евроремонт,Кирпичный,550.0
 Яшнободский район,3,70.0,6,9,Средний,Панельный,450.0
 Чиланзарский район,2,50.0,2,4,Евроремонт,Кирпичный,700.0
 Чиланзарский район,3,70.0,3,4,Средний,Кирпичный,500.0
 Яшнободский район,2,48.0,3,4,Средний,Панельный,350.0
 Шайхантахурский район,3,70.0,3,4,Евроремонт,Кирпичный,850.0
 Мирзо-Улугбекский район,4,90.0,4,4,Авторский проект,Кирпичный,1500.0
 Яшнободский район,3,68.0,2,4,Евроремонт,Кирпичный,1000.0
 Яшнободский район,2,68.0,3,9,Евроремонт,Панельный,400.0
 Чиланзарский район,2,35.0,4,4,Евроремонт,Панельный,400.0
 Шайхантахурский район,3,70.0,1,4,Евроремонт,Кирпичный,700.0
 Чиланзарский район,2,50.0,2,4,Евроремонт,Кирпичный,550.0
 Мирабадский район,2,50.0,1,9,Евроремонт,Панельный,650.0
 Яккасарайский район,1,40.0,1,2,Евроремонт,Кирпичный,500.0
 Шайхантахурский район,4,90.0,2,4,Евроремонт,Кирпичный,600.0
 Яккасарайский район,1,40.0,5,7,Евроремонт,Панельный,450.0
 Мирзо-Улугбекский район,1,45.0,1,4,Евроремонт,Кирпичный,500.0
 Шайхантахурский район,2,50.0,6,9,Евроремонт,Панельный,600.0
 Чиланзарский район,2,45.0,3,4,Средний,Панельный,350.0
 Учтепинский район,2,47.0,1,5,Евроремонт,Кирпичный,350.0
 Чиланзарский район,1,28.0,3,4,Евроремонт,Кирпичный,500.0
 Чиланзарский район,1,30.0,3,4,Евроремонт,Панельный,450.0
 Чиланзарский район,2,45.0,2,4,Евроремонт,Панельный,500.0
 Мирабадский район,2,50.0,12,12,Авторский проект,Монолитный,1300.0
 Яккасарайский район,3,70.0,2,4,Евроремонт,Кирпичный,800.0
 Яккасарайский район,2,70.0,6,6,Авторский проект,Кирпичный,700.0
 Яккасарайский район,1,33.0,3,4,Евроремонт,Кирпичный,700.0
 Юнусабадский район,2,60.0,4,4,Евроремонт,Кирпичный,800.0
 Яккасарайский район,3,68.0,4,4,Евроремонт,Кирпичный,700.0
 Шайхантахурский район,3,70.0,1,4,Евроремонт,Кирпичный,700.0
 Мирзо-Улугбекский район,3,70.0,4,5,Евроремонт,Кирпичный,800.0
 Юнусабадский район,2,60.0,3,4,Евроремонт,Кирпичный,700.0
 Яккасарайский район,6,160.0,1,10,Евроремонт,Монолитный,1400.0
 Яшнободский район,2,48.0,8,9,Авторский проект,Монолитный,700.0
 Юнусабадский район,3,72.0,3,4,Евроремонт,Кирпичный,1000.0
 Мирзо-Улугбекский район,2,45.0,8,8,Авторский проект,Кирпичный,900.0
 Шайхантахурский район,2,60.0,3,9,Авторский проект,Панельный,1000.0
 Яккасарайский район,2,56.0,3,5,Евроремонт,Кирпичный,550.0
 Юнусабадский район,3,70.0,3,4,Авторский проект,Кирпичный,1200.0
 Шайхантахурский район,3,70.0,3,4,Евроремонт,Кирпичный,800.0
 Юнусабадский район,1,30.0,3,13,Евроремонт,Монолитный,500.0
 Мирабадский район,2,55.0,5,9,Авторский проект,Монолитный,900.0
 Яшнободский район,2,60.0,9,9,Евроремонт,Монолитный,800.0
 Шайхантахурский район,3,74.0,9,9,Евроремонт,Панельный,800.0
 Мирзо-Улугбекский район,3,70.0,7,9,Евроремонт,Панельный,800.0
